v,X,Y,r,cos_theta,sin_theta,dBA
10.0,55.04709405351032,-132.89544103321185,143.8449888287663,0.38268343236509,-0.9238795325112866,39.301011748
10.0,62.139245594733325,-150.01740947043768,162.3776739188721,0.38268343236509,-0.9238795325112866,38.423508892
10.0,70.1451349880359,-169.34533622260764,183.29807108324354,0.3826834323650901,-0.9238795325112867,37.505638908
10.0,79.18248629183239,-191.1634323081633,206.91380811147903,0.38268343236508995,-0.9238795325112865,36.554687128
10.0,89.38419088402381,-215.79252589395568,233.5721469090121,0.38268343236509006,-0.9238795325112867,35.576543408
10.0,100.90026158746328,-243.5947799714467,263.6650898730358,0.38268343236509,-0.9238795325112866,34.577248728
10.0,113.90003856082572,-274.9790178483637,297.63514416313194,0.38268343236509,-0.9238795325112865,33.560440216
10.0,128.5746793918072,-310.4067347654732,335.9818286283781,0.38268343236509006,-0.9238795325112866,32.530468264
10.0,145.13997000868252,-350.39888403738536,379.26901907322497,0.38268343236509,-0.9238795325112867,31.490835228
10.0,163.83949774378024,-395.5435375054301,428.13323987193957,0.38268343236509,-0.9238795325112867,30.443569528
10.0,184.94823320776715,-446.5045329471332,483.2930238571753,0.38268343236508995,-0.9238795325112866,29.390644552
10.0,208.77657364506413,-504.03123559969873,545.559478116852,0.38268343236509,-0.9238795325112866,28.333674596
10.0,235.6749072266475,-568.969557337593,615.8482110660267,0.38268343236509,-0.9238795325112867,27.273905668
10.0,266.0387653967133,-642.2743955377389,695.1927961775606,0.38268343236509,-0.9238795325112867,26.212787072
10.0,300.3146390368232,-725.0236745418787,784.7599703514607,0.38268343236509,-0.9238795325112867,25.15036934
10.0,339.0065439723761,-818.4341961913408,885.8667904100822,0.38268343236509006,-0.9238795325112867,24.087686096
10.0,382.68343236509,-923.8795325112866,999.9999999999999,0.38268343236509006,-0.9238795325112867,23.024673064
10.0,-70.71067811865474,70.71067811865476,99.99999999999999,-0.7071067811865475,0.7071067811865477,42.947519264
10.0,-79.82089280705694,79.82089280705695,112.88378916846895,-0.7071067811865475,0.7071067811865477,42.427785212
10.0,-90.10484834870763,90.10484834870766,127.42749857031333,-0.7071067811865475,0.7071067811865477,41.835883308
10.0,-101.71376704052382,101.71376704052383,143.8449888287663,-0.7071067811865475,0.7071067811865476,41.181310164
10.0,-114.81835434133244,114.81835434133248,162.3776739188721,-0.7071067811865475,0.7071067811865477,40.472257692
10.0,-129.61130904137534,129.61130904137536,183.29807108324357,-0.7071067811865475,0.7071067811865476,39.716020228
10.0,-146.31015683675886,146.31015683675886,206.913808111479,-0.7071067811865476,0.7071067811865476,38.91750404
10.0,-165.16044897566297,165.16044897566297,233.57214690901213,-0.7071067811865475,0.7071067811865475,38.081869876
10.0,-186.4393730113841,186.4393730113841,263.6650898730358,-0.7071067811865475,0.7071067811865475,37.213440604
10.0,-210.45982875718624,210.45982875718627,297.63514416313194,-0.7071067811865475,0.7071067811865476,36.316462852
10.0,-237.57502937858263,237.57502937858263,335.981828628378,-0.7071067811865476,0.7071067811865476,35.394538244
10.0,-268.1836952806474,268.18369528064744,379.26901907322497,-0.7071067811865475,0.7071067811865476,34.451789332000004
10.0,-302.7359171648152,302.73591716481525,428.13323987193957,-0.7071067811865475,0.7071067811865476,33.49049164
10.0,-341.7397744695605,341.73977446956053,483.2930238571752,-0.7071067811865475,0.7071067811865476,32.514277072
10.0,-385.7688065170199,385.76880651702,545.559478116852,-0.7071067811865475,0.7071067811865476,31.525172872
10.0,-435.4704462263916,435.4704462263917,615.8482110660267,-0.7071067811865474,0.7071067811865476,30.52547796
10.0,-491.5755404091904,491.5755404091905,695.1927961775606,-0.7071067811865475,0.7071067811865476,29.516824256
10.0,-554.9090966392718,554.9090966392719,784.7599703514607,-0.7071067811865475,0.7071067811865476,28.500992704
10.0,-626.4024147269312,626.4024147269313,885.8667904100822,-0.7071067811865476,0.7071067811865477,27.47908628
